ACCIDENT_NO,PERSON_ID,cluster
T20250000606,A,0
T20200004467,01,0
T20200004467,B,2
T20200004467,A,0
T20190018772,A,1
T20190018772,B,1
T20190018772,01,4
T20200016792,B,0
T20230018096,A,4
T20200014473,A,0
T20200014473,B,2
T20240005873,A,0
T20230015089,B,2
T20210025039,01,0
T20210025039,A,0
T20200005226,A,0
T20200005226,B,2
T20240007838,A,2
T20200003528,B,2
T20200003528,A,0
T20230013042,A,4
T20230015940,A,1
T20230015940,B,4
T20230014207,B,1
T20200015546,A,2
T20200015546,B,0
T20200018245,B,2
T20200018245,A,0
T20200012474,A,2
T20200012474,B,0
T20210007140,02,2
T20210007140,A,2
T20210007140,01,0
T20210007140,B,2
T20210013954,B,2
T20210006301,A,0
T20230021834,B,2
T20190001464,A,2
T20190001464,B,0
T20190013467,A,4
T20190018637,B,0
T20240001970,A,0
T20210009162,A,1
T20210010247,01,1
T20210010247,A,1
T20140006633,A,2
T20140003563,01,0
T20140003563,B,2
T20140003563,A,2
T20220005411,A,2
T20210002004,A,2
T20210019128,A,2
T20210002630,A,2
T20220015906,A,0
T20210022285,B,6
T20210009162,B,4
T20210003091,A,1
T20210000764,A,0
T20220026259,02,0
T20170002776,A,6
T20210005648,04,0
T20210005797,B,4
T20210010247,B,4
T20210010000,A,2
T20210005114,A,0
T20210005114,01,0
T20210005114,B,2
T20210011023,B,4
T20210008537,B,1
T20210016857,A,0
T20210003664,A,1
T20180020612,01,3
T20190005226,A,0
T20190005226,B,2
T20220015505,A,2
T20180006478,01,4
T20190011233,02,1
T20190010502,B,2
T20240012746,B,2
T20190004157,B,0
T20190021987,B,2
T20180010443,A,2
T20190011141,B,2
T20230009291,A,0
T20190008803,A,0
T20170008203,A,0
T20190018400,01,0
T20160004124,01,1
T20180003641,B,3
T20190013532,A,2
T20190013532,B,0
T20180003641,A,3
T20190022334,A,0
T20190026561,B,2
T20160012125,A,1
T20190006498,B,3
T20190006598,A,1
T20170023730,A,1
T20120021482,A,0
T20230020512,A,0
T20200011253,A,0
T20200011253,01,0
T20120018404,A,2
T20200003494,A,2
T20200003494,B,0
T20200003494,01,0
T20190000690,A,2
T20230016783,A,0
T20230016783,B,2
T20230014517,B,6
T20240002391,A,2
T20230014839,A,2
T20120019528,A,2
T20120019528,01,0
T20120019528,B,2
T20210009477,B,2
T20210009477,A,0
T20210011390,B,0
T20220009657,A,4
T20210024964,01,2
T20190013161,01,5
T20240008165,B,0
T20210009093,01,2
T20230008485,02,0
T20210012810,B,2
T20190018354,A,1
T20190021927,03,0
T20190018317,02,2
T20170004357,B,6
T20180002017,02,6
T20190010185,B,6
T20190010185,A,4
T20160027579,A,0
T20160012727,B,1
T20200002863,01,2
T20190005772,B,2
T20160013304,A,2
T20160013304,B,0
T20200010921,A,1
T20200013579,B,2
T20190016307,A,2
T20190014896,A,2
T20190013284,B,0
T20190013284,B,0
T20200023474,A,2
T20190005677,B,2
T20180008737,B,2
T20180007469,A,1
T20190017903,A,1
T20190009431,B,1
T20200010749,C,1
T20220004388,01,2
T20190019845,B,2
T20160009733,A,4
T20200000971,A,2
T20190014973,B,1
T20200011753,B,4
T20200005834,A,0
T20200005834,B,0
T20200015231,02,1
T20220020284,B,1
T20200004829,A,2
T20160023923,A,2
T20190005074,B,1
T20190010025,A,4
T20200008728,A,2
T20170011129,B,6
T20190020314,A,0
T20190012879,A,0
T20200002302,A,0
T20170015928,A,2
T20170015928,B,0
T20160015532,A,4
T20230017655,B,3
T20140003585,B,1
T20240006134,B,0
T20230015260,B,0
T20230019103,B,4
T20120020431,01,4
T20120020431,A,6
T20120020431,B,6
T20230019103,01,1
T20120019173,01,6
T20120019173,02,6
T20120019173,B,6
T20120019173,A,4
T20120020634,A,0
T20120020634,B,2
T20120021164,A,0
T20120021164,B,2
T20120018902,01,0
T20120018902,A,2
T20120018902,B,2
T20120018902,02,2
T20210015815,A,0
T20120021718,A,2
T20120018751,B,0
T20120018751,A,2
T20240010506,B,2
T20240010506,A,0
T20240016545,01,6
T20240016545,A,4
T20240033365,A,2
T20240008711,B,1
T20240008711,A,1
T20240002635,A,0
T20190005646,A,3
T20190005646,A,3
T20240016402,A,6
T20230027147,B,6
T20230013189,A,0
T20240007693,B,0
T20190012874,29,5
T20190012874,37,5
T20190012874,45,5
T20190012874,06,5
T20190012874,14,5
T20230017647,A,0
T20230017280,B,1
T20220029536,A,2
T20220029536,B,0
T20220018861,A,0
T20210016285,B,2
T20140010309,B,1
T20190016307,B,0
T20130015841,A,0
T20130015841,B,2
T20190023293,A,1
T20190023293,A,1
T20190016066,03,6
T20190016066,03,6
T20190016066,05,3
T20190016066,05,3
T20190008994,A,2
T20190018348,A,2
T20190024014,01,4
T20120010566,B,0
T20190006543,A,1
T20210008966,A,2
T20210016785,A,4
T20230007106,B,2
T20220009915,B,0
T20170002974,B,2
T20220016248,A,0
T20220022359,B,0
T20190018348,B,0
T20200004245,B,2
T20220014878,B,4
T20180012134,01,0
T20180012134,A,2
T20180012134,B,0
T20190006940,01,0
T20190006940,A,0
T20170024799,B,5
T20190025751,B,0
T20180011629,A,1
T20190011141,04,0
T20210013215,B,2
T20190020605,A,2
T20200011743,B,2
T20180000554,01,3
T20230029427,A,1
T20190024014,02,1
T20190006598,B,3
T20190006598,01,3
T20190006940,B,2
T20190020188,B,0
T20190020842,A,2
T20190020842,B,0
T20140012974,A,2
T20200002571,A,0
T20130016621,B,2
T20210026319,B,1
T20210020884,A,0
T20180020971,01,1
T20200011680,A,2
T20160015264,A,5
T20190000913,A,0
T20190026413,B,0
T20230015260,A,2
T20120021108,A,1
T20120023297,A,0
T20120022995,A,2
T20120022995,B,0
T20230013562,A,4
T20200004763,B,2
T20240002017,A,0
T20240002017,B,2
T20230015272,B,4
T20230014104,B,0
T20230014104,A,2
T20200013811,A,2
T20200013811,B,0
T20230015272,A,1
T20200010394,A,2
T20200014657,A,1
T20160015850,A,3
T20160015850,B,6
T20160015850,01,3
T20200003729,B,2
T20240002279,02,0
T20230016584,A,1
T20230016601,B,1
T20230002825,01,0
T20230002825,02,2
T20230018738,B,6
T20230002504,A,6
T20230028231,B,0
T20240003133,B,2
T20230002504,01,6
T20240010054,B,2
T20240010221,A,2
T20220027939,B,0
T20220027939,A,2
T20230022483,B,4
T20210023315,A,4
T20130022471,A,2
T20130022471,B,0
T20210026480,01,0
T20180019392,B,4
T20240007693,A,2
T20220022678,01,6
T20210026480,A,2
T20180019392,A,1
T20180019392,01,1
T20240004330,B,4
T20230009403,B,0
T20230017991,B,0
T20230016745,B,3
T20230016718,01,1
T20240002668,A,2
